ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,yearly,yhat
4/30/2031,2701921.681767074,331133.7638552998,5080859.621,2406942.623897858,3010691.1404302334,-2795.808639,2699125.8731276845
5/31/2031,2712453.452268067,246061.6322371322,4978674.279725661,2413638.3297713064,3028525.1586458925,-17474.8976,2694978.554671567
6/30/2031,2722645.488236769,286811.04278028547,5161850.293230254,2420257.505669108,3044276.2901800624,1256.762701047295,2723902.250937816
7/31/2031,2733177.2587377615,286137.0261263001,5132784.9673251035,2424818.037040875,3059849.256086437,-10891.05354,2722286.205
8/31/2031,2743709.029238754,387720.7338928174,5116377.969,2430043.2262546583,3073949.464082142,37331.47781984841,2781040.5070586023
9/30/2031,2753901.065207456,436094.81677035656,5277466.391130165,2435633.095922965,3087669.090274313,39540.65004,2793441.7152487813
10/31/2031,2764432.835708448,412207.77377263847,5105063.513977746,2442758.8276397106,3102295.3511662045,22156.954861321894,2786589.791
11/30/2031,2774624.871677151,286222.7850587003,5332467.261395642,2448072.1413229173,3116520.052281491,2802.9051558136357,2777427.7768329647
12/31/2031,2785156.6421781434,320090.1073,4949575.866,2453447.4487317353,3131998.5365083814,-22698.81295,2762457.8292304734
1/31/2032,2795688.412679136,471270.3781973163,5101995.815728034,2459530.5065417546,3148069.130473709,-69848.57862,2725839.8340588813
2/29/2032,2805540.7141155475,350985.40371468983,5209755.410386571,2465187.977,3164251.462657838,51065.53670967167,2856606.2508252193
3/31/2032,2816072.485,509996.4283,5095076.233460775,2470524.2027957435,3179716.0407894813,16076.012245279211,2832148.496861819
4/30/2032,2826264.5205852427,142210.24229351705,5045600.470546927,2473705.438525251,3197650.069367426,2143.456139730443,2828407.976724973
5/31/2032,2836796.291086235,474507.3761107512,5080078.185085085,2478198.165431477,3213848.0608688113,-278.685154,2836517.6059322385
6/30/2032,2846988.327054937,621418.6959571001,5345728.774636866,2481190.871354642,3231366.0502359495,14054.900248352038,2861043.227303289
7/31/2032,2857520.0975559293,216274.00473007176,5036901.391642984,2485447.8825950986,3247500.2238193145,1296.4537133184267,2858816.5512692477
8/31/2032,2868051.8680569218,426484.43445597374,5327932.754899388,2489674.700821183,3264094.8606319027,17896.932772779634,2885948.8008297016
9/30/2032,2878243.9040256245,442017.7301413573,5361938.280683257,2494890.009931676,3280762.594863452,20561.585001017756,2898805.4890266424
10/31/2032,2888775.674526616,594207.4498287456,5444811.731565631,2500323.367790766,3298987.8587806085,18154.73038,2906930.404911141
11/30/2032,2898967.7104953188,491772.4051621637,5373370.911,2503765.6760275695,3313671.5936839306,7642.583297343883,2906610.2937926627
12/31/2032,2909499.480996311,429816.50091588974,5295391.216293916,2510764.621061447,3327795.267715259,-3805.416883,2905694.0641129143
1/31/2033,2920031.2514973036,420029.34018482117,5303964.2318258025,2516648.5843005823,3343582.475818328,-29144.34771,2890886.903783436
2/28/2033,2929543.8184014256,541948.8325489266,5630209.920311057,2518891.5492276675,3359591.7889550105,68018.86724,2997562.6856366657
3/31/2033,2940075.588902418,504782.6699502072,5237684.431679877,2525650.9395224084,3377019.0656106067,20608.43684101661,2960684.0257434347
